z_mm,z_over_L,W_g,T_C,T_K,X_MeOH,y_CH3OH,y_DME,y_H2O,F_CH3OH_mol_h,F_DME_mol_h,F_H2O_mol_h
37.5000,0.250000,5.88106,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
37.7500,0.251667,5.92027,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
38.0000,0.253333,5.95948,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
38.2500,0.255000,5.99868,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
38.5000,0.256667,6.03789,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
38.7500,0.258333,6.07710,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
39.0000,0.260000,6.11630,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
39.2500,0.261667,6.15551,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
39.5000,0.263333,6.19472,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
39.7500,0.265000,6.23393,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
40.0000,0.266667,6.27313,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
40.2500,0.268333,6.31234,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
40.5000,0.270000,6.35155,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
40.7500,0.271667,6.39075,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
41.0000,0.273333,6.42996,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
41.2500,0.275000,6.46917,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
41.5000,0.276667,6.50837,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
41.7500,0.278333,6.54758,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
42.0000,0.280000,6.58679,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
42.2500,0.281667,6.62600,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
42.5000,0.283333,6.66520,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
42.7500,0.285000,6.70441,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
43.0000,0.286667,6.74362,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
43.2500,0.288333,6.78282,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
43.5000,0.290000,6.82203,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
43.7500,0.291667,6.86124,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
44.0000,0.293333,6.90045,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
44.2500,0.295000,6.93965,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
44.5000,0.296667,6.97886,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
44.7500,0.298333,7.01807,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
45.0000,0.300000,7.05727,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
